videoId,commentId,authorDisplayName,textOriginal,likeCount,student_1,student_2,student_3
8T3S6JUD5mM,Ugxxq7CASwzJIOAIbyx4AaABAg,怡嘉陳,不要管川普，我們是台灣，不要講那些，哈哈，友韓必投，無韓出遊，不要帶風向，最近股票跌跌跌，我股災了，不要再捧了，快就股市吧,302,,無關對美立場,無關對美立場
90DZ3825uZM,UgzB4F0roxuRF_saZ5d4AaABAg,KS C,大陸軍機繞台，是因為我們開放美國走台灣海峽挑釁對岸，需要這樣真眼說瞎話？噁心呀,298,,有關-中立0,有關-親美1
9xzni57RduE,Ugy8nkYZgZ3oqy4viOh4AaABAg,Jeff Y,蔡英文英文並不好。但大部分的名校有錢要進去，畢業並不是那麼難。名校出來肚子沒有材料的非常多。比如美國前總統布希。沒什麼。,294,,無關對美立場,有關-仇美-1
AA7ExnvktHY,Ugw9MaObubMKGL9C3dN4AaABAg,Charles lee,"反正我不管，華爲肯定是偷美國技術的，就算美國自己都沒有。

中華有為",287,,有關-仇美-1,有關-仇美-1
AA7ExnvktHY,UgxbV80pbXPS7yiQL594AaABAg,香大仁,這件事可看出川普之無能白癡.更可看到菜鷹蚊的笨與呆.哈哈哈.....,284,,有關-仇美-1,有關-仇美-1
AA7ExnvktHY,UgymBKBZTLvt_banFWF4AaABAg,SKK K,"華為怎麼可能有高科技，折疊螢幕一定又是偷美國的技術！5G也是抄美國的
就算美國根本沒有",283,,有關-親美1,有關-仇美-1
AA7ExnvktHY,Ugyub2MJdPWFrKxTR854AaABAg,Landalini Chu,"我只想問一句，台灣會有5G嗎? 蔡陰魂死跟老美屁股，美國的5G最快也要到2021年才有, 還是美制式，台灣就耐心等蘋果或摩托羅拉吧！",283,,有關-中立0,有關-仇美-1
AA7ExnvktHY,Ugz3k1Q5MSgxXvv8PYp4AaABAg,Adam Peck,只有臺灣民進騙子集團喜歡吸美國政府的屁股！,290,,有關-中立0,有關-仇美-1
ASPQyQNrGkg,UgztKYoiMsCl7cq6N7J4AaABAg.8wSRiRPsakF8wWjCyZInC8,bmw carrifivert,"Jane wang 
人家是美國人，日本人，
驕傲是應該的。",280,,有關-親美1,有關-親美1
B_Fl6uQYIUg,UgwXlFCktluPPc3BKvB4AaABAg,Andy Lui,"不會贏－才要搞東搞西－
柯、郭－不要相信蘋果民調－帶風向？這個傳媒－美國的門口狗？在香港🇭🇰也是在搞鬼－",262,,有關-仇美-1,有關-仇美-1
BpqsCqqgk0w,Ugw68PPnSMwwCIsv8Dx4AaABAg,陳姊,選中華民國總統 何必要去美國面試  為國出征 贏回台灣,254,,有關-仇美-1,有關-仇美-1
BpqsCqqgk0w,UgwDKWhl0Dlt0KNBZON4AaABAg,甘興盛,美帝  算啥  也只有無能綠黨把它們當乾爹抱大腿,246,,有關-仇美-1,有關-仇美-1
BpqsCqqgk0w,UgwDsLiRKOLLT90bnfB4AaABAg,Paige Hsieh,川普打中，因為中國晉升世界強國，利用僞博士學位總統台獨立場，激怒中國。妄想美國會為台獨出戰，太可笑了。賣武器給台灣，意思是自求多福，川普肥了荷包又達成打中目的！,260,,有關-仇美-1,無關對美立場
BpqsCqqgk0w,UgwKFazgww0PO7qqPTh4AaABAg,小流氓泰迪熊,直接公開說考慮購買F16V就可以，看美國怎麼表態,204,,有關-中立0,無關對美立場
BpqsCqqgk0w,UgwKoVNkZRphv5VYVVx4AaABAg,Paula Wen,"美國的官員大概也嚇了一跳，竟然台灣會有政治人物對它說，NO, THANK YOU  !",230,,有關-中立0,有關-中立0
BpqsCqqgk0w,UgwUZ8poxcXjit642aN4AaABAg,lings lin,台灣不是美國的一州，台灣選總統、台灣人作主，不需要看美國臉色。,251,,有關-仇美-1,有關-仇美-1
BpqsCqqgk0w,UgwVCDlepUtCSqW3XMl4AaABAg,李清全,"取消訪美很好丫；
讓老美知曉友幫，之間的相處是互補有無的，而不是，只為自己的利益，暗藏，背後下獨手的手段；
失去了，臺灣；就失去了太平洋的霸權名稱！",210,,有關-仇美-1,有關-中立0
BpqsCqqgk0w,Ugwic_Y6uEJ-vqWrQ0h4AaABAg,無語,空心詐菜花臺灣人民的血汗錢大灑幣買很多美國的政治界人士 隨便說個話就給個上千萬 牠花我們的血汗錢完全不手軟,212,,有關-中立0,有關-仇美-1
BpqsCqqgk0w,Ugwin6swsNMYqOpJxPZ4AaABAg,伍維涛,"還沒選  就去美國面試   ，感覺就是 國家國格被美國鄙視， 就這一點因素我就反對 韓總去。

我們是獨立自主的民主國家，不需要向美國低聲下氣， 我們全國庶民就是硬。",212,,有關-仇美-1,有關-仇美-1
BpqsCqqgk0w,Ugwin6swsNMYqOpJxPZ4AaABAg.90EIn12w3Dj90EUdLcnTnM,frank lin,同見同解，做好自己就好，老美如國夠誠意，可以派智庫團來高雄拜訪韓總，否則抱歉沒空閒！,211,,有關-仇美-1,無關對美立場
BpqsCqqgk0w,Ugwk_CGXwXKUagOb87F4AaABAg,蔡劳斯,不去是對的，韓市長暫時不需要美國政客的支持，而是優先更多瞭解已被忽視多年的民生問題！,222,,有關-中立0,有關-中立0
BpqsCqqgk0w,Ugwk_CGXwXKUagOb87F4AaABAg.90EXGumyQJl90FHhdquu2U,中理感,答案是要對美國有利的 陷阱ㄧ堆  讓你美國有興趣再來找韓總,222,,有關-仇美-1,無關對美立場
BpqsCqqgk0w,Ugwsg9DvTyQ_ge1HapZ4AaABAg,Mae,不去美國是對的 以前中華民國被美國當棋子，不去的話，我們就是下棋的人,229,,有關-仇美-1,有關-仇美-1
BpqsCqqgk0w,Ugwv2kJupvhmv7Tq7rp4AaABAg,田淑珍,美國爸爸的任何一個考題答不好都會被解讀親中，韓不去是對的避免被穿小鞋 ，反正選上了老美還是要面對韓的,204,,有關-仇美-1,有關-親美1
